county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day
Orange,63097,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,111,74,0,37
Orange,63098,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63098,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63099,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63099,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63201,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63201,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63202,Lieutenant Governor,,DEM,ED HERNANDEZ,7,7,0,0
Orange,63202,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,5,5,0,0
Orange,63203,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63203,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63204,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63204,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63206,Lieutenant Governor,,DEM,ED HERNANDEZ,2,2,0,0
Orange,63206,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63207,Lieutenant Governor,,DEM,ED HERNANDEZ,2,1,0,1
Orange,63207,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,1,0,0,1
Orange,63208,Lieutenant Governor,,DEM,ED HERNANDEZ,7,6,1,0
Orange,63208,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,8,5,0,3
Orange,63210,Lieutenant Governor,,DEM,ED HERNANDEZ,24,23,1,0
Orange,63210,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,30,30,0,0
Orange,63211,Lieutenant Governor,,DEM,ED HERNANDEZ,6,6,0,0
Orange,63211,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,2,2,0,0
Orange,63212,Lieutenant Governor,,DEM,ED HERNANDEZ,1,1,0,0
Orange,63212,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63213,Lieutenant Governor,,DEM,ED HERNANDEZ,2,2,0,0
Orange,63213,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,1,1,0,0
Orange,63214,Lieutenant Governor,,DEM,ED HERNANDEZ,7,7,0,0
Orange,63214,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,10,10,0,0
Orange,63216,Lieutenant Governor,,DEM,ED HERNANDEZ,554,374,3,177
Orange,63216,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,709,471,14,224
Orange,63217,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63217,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63219,Lieutenant Governor,,DEM,ED HERNANDEZ,30,30,0,0
Orange,63219,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,21,21,0,0
Orange,63220,Lieutenant Governor,,DEM,ED HERNANDEZ,7,6,1,0
Orange,63220,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,9,8,1,0
Orange,63222,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63222,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63223,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63223,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63224,Lieutenant Governor,,DEM,ED HERNANDEZ,1,1,0,0
Orange,63224,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63225,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63225,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63226,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63226,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,1,1,0,0
Orange,63227,Lieutenant Governor,,DEM,ED HERNANDEZ,1,1,0,0
Orange,63227,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,6,6,0,0
Orange,63228,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63228,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63229,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63229,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63231,Lieutenant Governor,,DEM,ED HERNANDEZ,249,158,0,91
Orange,63231,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,241,159,0,82
Orange,63236,Lieutenant Governor,,DEM,ED HERNANDEZ,83,52,2,29
Orange,63236,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,92,62,1,29
Orange,63238,Lieutenant Governor,,DEM,ED HERNANDEZ,3,3,0,0
Orange,63238,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63256,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63256,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63260,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63260,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63262,Lieutenant Governor,,DEM,ED HERNANDEZ,661,418,9,234
Orange,63262,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,658,439,13,206
Orange,63347,Lieutenant Governor,,DEM,ED HERNANDEZ,343,244,3,96
Orange,63347,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,413,309,12,92
Orange,63352,Lieutenant Governor,,DEM,ED HERNANDEZ,234,139,1,94
Orange,63352,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,336,177,6,153
Orange,63358,Lieutenant Governor,,DEM,ED HERNANDEZ,14,14,0,0
Orange,63358,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,32,30,0,2
Orange,63361,Lieutenant Governor,,DEM,ED HERNANDEZ,19,19,0,0
Orange,63361,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,23,23,0,0
Orange,63362,Lieutenant Governor,,DEM,ED HERNANDEZ,296,161,6,129
Orange,63362,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,305,179,4,122
Orange,63369,Lieutenant Governor,,DEM,ED HERNANDEZ,334,182,8,144
Orange,63369,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,466,280,13,173
Orange,63371,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63371,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63372,Lieutenant Governor,,DEM,ED HERNANDEZ,22,17,4,1
Orange,63372,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,25,20,4,1
Orange,63373,Lieutenant Governor,,DEM,ED HERNANDEZ,112,75,2,35
Orange,63373,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,168,95,3,70
Orange,63374,Lieutenant Governor,,DEM,ED HERNANDEZ,252,154,11,87
Orange,63374,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,269,165,3,101
Orange,63375,Lieutenant Governor,,DEM,ED HERNANDEZ,165,110,7,48
Orange,63375,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,284,190,8,86
Orange,63377,Lieutenant Governor,,DEM,ED HERNANDEZ,346,236,6,104
Orange,63377,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,411,276,6,129
Orange,63383,Lieutenant Governor,,DEM,ED HERNANDEZ,40,37,1,2
Orange,63383,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,66,65,1,0
Orange,63389,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,63389,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,63390,Lieutenant Governor,,DEM,ED HERNANDEZ,529,345,6,178
Orange,63390,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,675,463,3,209
Orange,63701,Lieutenant Governor,,DEM,ED HERNANDEZ,176,113,4,59
Orange,63701,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,207,155,3,49
Orange,63705,Lieutenant Governor,,DEM,ED HERNANDEZ,533,376,8,149
Orange,63705,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,699,455,13,231
Orange,63706,Lieutenant Governor,,DEM,ED HERNANDEZ,142,93,0,49
Orange,63706,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,206,131,1,74
Orange,63707,Lieutenant Governor,,DEM,ED HERNANDEZ,328,195,2,131
Orange,63707,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,374,222,5,147
Orange,63708,Lieutenant Governor,,DEM,ED HERNANDEZ,494,314,9,171
Orange,63708,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,646,451,9,186
Orange,63710,Lieutenant Governor,,DEM,ED HERNANDEZ,445,269,9,167
Orange,63710,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,473,285,4,184
Orange,63711,Lieutenant Governor,,DEM,ED HERNANDEZ,447,266,4,177
Orange,63711,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,514,313,9,192
Orange,63712,Lieutenant Governor,,DEM,ED HERNANDEZ,400,237,6,157
Orange,63712,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,469,324,2,143
Orange,63713,Lieutenant Governor,,DEM,ED HERNANDEZ,613,421,4,188
Orange,63713,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,723,507,6,210
Orange,63715,Lieutenant Governor,,DEM,ED HERNANDEZ,400,260,3,137
Orange,63715,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,441,255,4,182
Orange,65051,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65051,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65052,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65052,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65053,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65053,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65055,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65055,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65056,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65056,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65057,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65057,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65058,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65058,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65060,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65060,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65061,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65061,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65062,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65062,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65064,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65064,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65065,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65065,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65066,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65066,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65067,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65067,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65068,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65068,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65069,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65069,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65071,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65071,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65081,Lieutenant Governor,,DEM,ED HERNANDEZ,183,106,2,75
Orange,65081,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,183,116,1,66
Orange,65083,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65083,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65087,Lieutenant Governor,,DEM,ED HERNANDEZ,207,110,1,96
Orange,65087,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,170,85,0,85
Orange,65091,Lieutenant Governor,,DEM,ED HERNANDEZ,64,61,0,3
Orange,65091,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,63,61,1,1
Orange,65093,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65093,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65097,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65097,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,65107,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,65107,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,67113,Lieutenant Governor,,DEM,ED HERNANDEZ,290,216,5,69
Orange,67113,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,364,264,10,90
Orange,67114,Lieutenant Governor,,DEM,ED HERNANDEZ,508,309,23,176
Orange,67114,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,546,375,18,153
Orange,67115,Lieutenant Governor,,DEM,ED HERNANDEZ,267,193,11,63
Orange,67115,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,257,199,7,51
Orange,67116,Lieutenant Governor,,DEM,ED HERNANDEZ,422,285,4,133
Orange,67116,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,518,363,14,141
Orange,67117,Lieutenant Governor,,DEM,ED HERNANDEZ,398,261,10,127
Orange,67117,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,412,269,15,128
Orange,67118,Lieutenant Governor,,DEM,ED HERNANDEZ,476,330,9,137
Orange,67118,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,496,342,16,138
Orange,67120,Lieutenant Governor,,DEM,ED HERNANDEZ,122,79,5,38
Orange,67120,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,194,127,6,61
Orange,67121,Lieutenant Governor,,DEM,ED HERNANDEZ,363,244,10,109
Orange,67121,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,472,339,16,117
Orange,68043,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,68043,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,4,4,0,0
Orange,68044,Lieutenant Governor,,DEM,ED HERNANDEZ,23,23,0,0
Orange,68044,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,9,9,0,0
Orange,68050,Lieutenant Governor,,DEM,ED HERNANDEZ,343,275,0,68
Orange,68050,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,328,235,5,88
Orange,68052,Lieutenant Governor,,DEM,ED HERNANDEZ,265,130,2,133
Orange,68052,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,160,89,3,68
Orange,68053,Lieutenant Governor,,DEM,ED HERNANDEZ,473,286,9,178
Orange,68053,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,464,275,5,184
Orange,68057,Lieutenant Governor,,DEM,ED HERNANDEZ,628,426,2,200
Orange,68057,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,548,388,5,155
Orange,68058,Lieutenant Governor,,DEM,ED HERNANDEZ,323,237,1,85
Orange,68058,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,318,233,2,83
Orange,68059,Lieutenant Governor,,DEM,ED HERNANDEZ,333,240,1,92
Orange,68059,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,336,256,4,76
Orange,68061,Lieutenant Governor,,DEM,ED HERNANDEZ,602,360,4,238
Orange,68061,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,414,252,6,156
Orange,68070,Lieutenant Governor,,DEM,ED HERNANDEZ,605,361,4,240
Orange,68070,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,545,352,15,178
Orange,68073,Lieutenant Governor,,DEM,ED HERNANDEZ,480,269,10,201
Orange,68073,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,498,285,15,198
Orange,68074,Lieutenant Governor,,DEM,ED HERNANDEZ,164,96,7,61
Orange,68074,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,183,117,0,66
Orange,68076,Lieutenant Governor,,DEM,ED HERNANDEZ,264,176,7,81
Orange,68076,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,331,209,12,110
Orange,68077,Lieutenant Governor,,DEM,ED HERNANDEZ,467,290,4,173
Orange,68077,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,364,230,5,129
Orange,68078,Lieutenant Governor,,DEM,ED HERNANDEZ,347,211,2,134
Orange,68078,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,199,115,3,81
Orange,68083,Lieutenant Governor,,DEM,ED HERNANDEZ,378,201,1,176
Orange,68083,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,263,162,2,99
Orange,68086,Lieutenant Governor,,DEM,ED HERNANDEZ,318,206,2,110
Orange,68086,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,216,148,2,66
Orange,68091,Lieutenant Governor,,DEM,ED HERNANDEZ,168,103,1,64
Orange,68091,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,131,94,0,37
Orange,68094,Lieutenant Governor,,DEM,ED HERNANDEZ,406,231,3,172
Orange,68094,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,197,108,2,87
Orange,68098,Lieutenant Governor,,DEM,ED HERNANDEZ,469,290,6,173
Orange,68098,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,264,176,2,86
Orange,68099,Lieutenant Governor,,DEM,ED HERNANDEZ,208,126,6,76
Orange,68099,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,181,103,9,69
Orange,68100,Lieutenant Governor,,DEM,ED HERNANDEZ,244,116,5,123
Orange,68100,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,174,94,0,80
Orange,68103,Lieutenant Governor,,DEM,ED HERNANDEZ,474,274,11,189
Orange,68103,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,268,148,4,116
Orange,68106,Lieutenant Governor,,DEM,ED HERNANDEZ,656,412,11,233
Orange,68106,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,401,257,3,141
Orange,68107,Lieutenant Governor,,DEM,ED HERNANDEZ,418,240,3,175
Orange,68107,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,221,137,2,82
Orange,68115,Lieutenant Governor,,DEM,ED HERNANDEZ,444,242,2,200
Orange,68115,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,256,136,3,117
Orange,68119,Lieutenant Governor,,DEM,ED HERNANDEZ,428,281,2,145
Orange,68119,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,224,154,1,69
Orange,68123,Lieutenant Governor,,DEM,ED HERNANDEZ,412,232,6,174
Orange,68123,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,280,179,2,99
Orange,68128,Lieutenant Governor,,DEM,ED HERNANDEZ,660,422,2,236
Orange,68128,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,396,242,2,152
Orange,68130,Lieutenant Governor,,DEM,ED HERNANDEZ,569,400,2,167
Orange,68130,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,331,215,3,113
Orange,68131,Lieutenant Governor,,DEM,ED HERNANDEZ,204,154,2,48
Orange,68131,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,142,92,2,48
Orange,68133,Lieutenant Governor,,DEM,ED HERNANDEZ,488,285,2,201
Orange,68133,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,345,217,4,124
Orange,68135,Lieutenant Governor,,DEM,ED HERNANDEZ,433,291,3,139
Orange,68135,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,217,148,2,67
Orange,68138,Lieutenant Governor,,DEM,ED HERNANDEZ,322,152,6,164
Orange,68138,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,321,175,3,143
Orange,68156,Lieutenant Governor,,DEM,ED HERNANDEZ,633,422,6,205
Orange,68156,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,470,286,11,173
Orange,68158,Lieutenant Governor,,DEM,ED HERNANDEZ,562,332,10,220
Orange,68158,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,601,335,8,258
Orange,68162,Lieutenant Governor,,DEM,ED HERNANDEZ,396,245,9,142
Orange,68162,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,256,176,4,76
Orange,68163,Lieutenant Governor,,DEM,ED HERNANDEZ,0,0,0,0
Orange,68163,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,0,0,0,0
Orange,68166,Lieutenant Governor,,DEM,ED HERNANDEZ,314,243,9,62
Orange,68166,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,150,103,3,44
Orange,68167,Lieutenant Governor,,DEM,ED HERNANDEZ,64,63,0,1
Orange,68167,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,91,88,2,1
Orange,68177,Lieutenant Governor,,DEM,ED HERNANDEZ,468,258,6,204
Orange,68177,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,272,143,1,128
Orange,68179,Lieutenant Governor,,DEM,ED HERNANDEZ,701,465,2,234
Orange,68179,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,503,330,9,164
Orange,68180,Lieutenant Governor,,DEM,ED HERNANDEZ,84,40,0,44
Orange,68180,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,49,34,0,15
Orange,68181,Lieutenant Governor,,DEM,ED HERNANDEZ,203,126,3,74
Orange,68181,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,116,76,2,38
Orange,68183,Lieutenant Governor,,DEM,ED HERNANDEZ,389,267,3,119
Orange,68183,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,207,145,2,60
Orange,68185,Lieutenant Governor,,DEM,ED HERNANDEZ,569,409,4,156
Orange,68185,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,573,406,11,156
Orange,68188,Lieutenant Governor,,DEM,ED HERNANDEZ,184,109,0,75
Orange,68188,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,122,79,2,41
Orange,68194,Lieutenant Governor,,DEM,ED HERNANDEZ,603,394,5,204
Orange,68194,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,605,409,5,191
Orange,68195,Lieutenant Governor,,DEM,ED HERNANDEZ,280,171,1,108
Orange,68195,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,288,187,1,100
Orange,68196,Lieutenant Governor,,DEM,ED HERNANDEZ,534,386,0,148
Orange,68196,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,485,347,5,133
Orange,68197,Lieutenant Governor,,DEM,ED HERNANDEZ,295,211,3,81
Orange,68197,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,360,255,2,103
Orange,68273,Lieutenant Governor,,DEM,ED HERNANDEZ,392,247,4,141
Orange,68273,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,353,223,1,129
Orange,68279,Lieutenant Governor,,DEM,ED HERNANDEZ,214,106,5,103
Orange,68279,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,198,118,3,77
Orange,68283,Lieutenant Governor,,DEM,ED HERNANDEZ,854,561,4,289
Orange,68283,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,774,497,16,261
Orange,68296,Lieutenant Governor,,DEM,ED HERNANDEZ,638,362,10,266
Orange,68296,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,528,328,8,192
Orange,68297,Lieutenant Governor,,DEM,ED HERNANDEZ,442,235,3,204
Orange,68297,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,213,110,2,101
Orange,68302,Lieutenant Governor,,DEM,ED HERNANDEZ,283,136,2,145
Orange,68302,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,167,96,1,70
Orange,68305,Lieutenant Governor,,DEM,ED HERNANDEZ,127,66,1,60
Orange,68305,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,81,42,3,36
Orange,68306,Lieutenant Governor,,DEM,ED HERNANDEZ,378,229,14,135
Orange,68306,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,245,157,7,81
Orange,68311,Lieutenant Governor,,DEM,ED HERNANDEZ,12,11,0,1
Orange,68311,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,11,10,0,1
Orange,68315,Lieutenant Governor,,DEM,ED HERNANDEZ,497,265,11,221
Orange,68315,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,476,281,13,182
Orange,68316,Lieutenant Governor,,DEM,ED HERNANDEZ,229,119,5,105
Orange,68316,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,227,125,5,97
Orange,68318,Lieutenant Governor,,DEM,ED HERNANDEZ,278,125,3,150
Orange,68318,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,285,135,1,149
Orange,68319,Lieutenant Governor,,DEM,ED HERNANDEZ,223,124,1,98
Orange,68319,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,205,112,0,93
Orange,68324,Lieutenant Governor,,DEM,ED HERNANDEZ,539,327,10,202
Orange,68324,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,510,323,6,181
Orange,68330,Lieutenant Governor,,DEM,ED HERNANDEZ,423,259,5,159
Orange,68330,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,228,133,0,95
Orange,68334,Lieutenant Governor,,DEM,ED HERNANDEZ,642,401,10,231
Orange,68334,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,358,226,6,126
Orange,68335,Lieutenant Governor,,DEM,ED HERNANDEZ,1,1,0,0
Orange,68335,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,3,3,0,0
Orange,68336,Lieutenant Governor,,DEM,ED HERNANDEZ,579,340,6,233
Orange,68336,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,521,294,17,210
Orange,68339,Lieutenant Governor,,DEM,ED HERNANDEZ,395,186,7,202
Orange,68339,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,435,214,7,214
Orange,68350,Lieutenant Governor,,DEM,ED HERNANDEZ,162,108,1,53
Orange,68350,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,175,121,1,53
Orange,68364,Lieutenant Governor,,DEM,ED HERNANDEZ,203,120,1,82
Orange,68364,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,188,129,4,55
Orange,68365,Lieutenant Governor,,DEM,ED HERNANDEZ,373,215,4,154
Orange,68365,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,350,215,11,124
Orange,68367,Lieutenant Governor,,DEM,ED HERNANDEZ,291,166,3,122
Orange,68367,Lieutenant Governor,,DEM,ELENI KOUNALAKIS,272,175,0,97
Orange,68369,Lieutenant Governor,,DEM,ED HERNANDEZ,84,65,2,17
