precinct,office,district,party,candidate,votes,provisional,absentee,polling,mail,county
410 Cal Pines,U.S. Senate,,,DIANNE FEINSTEIN,51,5,28,18,0,Modoc
420 Canby,U.S. Senate,,,DIANNE FEINSTEIN,40,1,0,0,39,Modoc
440 Adin,U.S. Senate,,,DIANNE FEINSTEIN,25,0,0,0,25,Modoc
460 Lookout,U.S. Senate,,,DIANNE FEINSTEIN,31,1,0,0,30,Modoc
480 Little Hot Spring (Day),U.S. Senate,,,DIANNE FEINSTEIN,9,0,0,0,9,Modoc
500 Newell,U.S. Senate,,,DIANNE FEINSTEIN,46,1,22,23,0,Modoc
MODOC CA,U.S. Senate,,,DIANNE FEINSTEIN,751,23,298,189,241,Modoc
020 Fort Bidwell,U.S. Senate,,,KEVIN DE LEON,30,0,0,0,30,Modoc
040 Lake City,U.S. Senate,,,KEVIN DE LEON,46,0,0,0,46,Modoc
060 Cedarville,U.S. Senate,,,KEVIN DE LEON,173,3,99,71,0,Modoc
080 Eagleville,U.S. Senate,,,KEVIN DE LEON,36,1,0,0,35,Modoc
100 Dry Creek,U.S. Senate,,,KEVIN DE LEON,60,3,0,0,57,Modoc
140 Stateline-Willow Ranch,U.S. Senate,,,KEVIN DE LEON,22,1,0,0,21,Modoc
160 Davis Creek,U.S. Senate,,,KEVIN DE LEON,31,0,0,0,31,Modoc
180 North Fork,U.S. Senate,,,KEVIN DE LEON,208,7,146,55,0,Modoc
200 Alturas B,U.S. Senate,,,KEVIN DE LEON,58,1,44,13,0,Modoc
260 Alturas C,U.S. Senate,,,KEVIN DE LEON,175,6,100,69,0,Modoc
280 Alturas A,U.S. Senate,,,KEVIN DE LEON,114,5,73,36,0,Modoc
320 Alturas D,U.S. Senate,,,KEVIN DE LEON,126,7,74,45,0,Modoc
360 Parker Creek,U.S. Senate,,,KEVIN DE LEON,60,2,0,0,58,Modoc
380 South Fork,U.S. Senate,,,KEVIN DE LEON,35,0,0,0,35,Modoc
400 Hot Spring,U.S. Senate,,,KEVIN DE LEON,141,3,106,32,0,Modoc
410 Cal Pines,U.S. Senate,,,KEVIN DE LEON,128,7,84,37,0,Modoc
420 Canby,U.S. Senate,,,KEVIN DE LEON,61,1,0,0,60,Modoc
440 Adin,U.S. Senate,,,KEVIN DE LEON,98,0,0,0,98,Modoc
460 Lookout,U.S. Senate,,,KEVIN DE LEON,91,0,0,0,91,Modoc
480 Little Hot Spring (Day),U.S. Senate,,,KEVIN DE LEON,32,0,0,0,32,Modoc
500 Newell,U.S. Senate,,,KEVIN DE LEON,142,3,80,59,0,Modoc
MODOC CA,U.S. Senate,,,KEVIN DE LEON,1867,50,806,417,594,Modoc
020 Fort Bidwell,U.S. House,1,,AUDREY DENNEY,34,1,0,0,33,Modoc
040 Lake City,U.S. House,1,,AUDREY DENNEY,36,0,0,0,36,Modoc
060 Cedarville,U.S. House,1,,AUDREY DENNEY,124,3,68,53,0,Modoc
080 Eagleville,U.S. House,1,,AUDREY DENNEY,17,1,0,0,16,Modoc
100 Dry Creek,U.S. House,1,,AUDREY DENNEY,34,0,0,0,34,Modoc
140 Stateline-Willow Ranch,U.S. House,1,,AUDREY DENNEY,20,1,0,0,19,Modoc
160 Davis Creek,U.S. House,1,,AUDREY DENNEY,9,0,0,0,9,Modoc
180 North Fork,U.S. House,1,,AUDREY DENNEY,84,2,65,17,0,Modoc
200 Alturas B,U.S. House,1,,AUDREY DENNEY,43,2,30,11,0,Modoc
260 Alturas C,U.S. House,1,,AUDREY DENNEY,118,4,77,37,0,Modoc
280 Alturas A,U.S. House,1,,AUDREY DENNEY,57,2,42,13,0,Modoc
320 Alturas D,U.S. House,1,,AUDREY DENNEY,107,5,58,44,0,Modoc
360 Parker Creek,U.S. House,1,,AUDREY DENNEY,25,0,0,0,25,Modoc
380 South Fork,U.S. House,1,,AUDREY DENNEY,17,0,0,0,17,Modoc
400 Hot Spring,U.S. House,1,,AUDREY DENNEY,47,2,35,10,0,Modoc
410 Cal Pines,U.S. House,1,,AUDREY DENNEY,70,7,44,19,0,Modoc
420 Canby,U.S. House,1,,AUDREY DENNEY,44,0,0,0,44,Modoc
440 Adin,U.S. House,1,,AUDREY DENNEY,39,0,0,0,39,Modoc
460 Lookout,U.S. House,1,,AUDREY DENNEY,33,0,0,0,33,Modoc
480 Little Hot Spring (Day),U.S. House,1,,AUDREY DENNEY,21,0,0,0,21,Modoc
500 Newell,U.S. House,1,,AUDREY DENNEY,62,2,36,24,0,Modoc
MODOC CA,U.S. House,1,,AUDREY DENNEY,1041,32,455,228,326,Modoc
020 Fort Bidwell,U.S. House,1,,DOUG LA MALFA,35,0,0,0,35,Modoc
040 Lake City,U.S. House,1,,DOUG LA MALFA,60,0,0,0,60,Modoc
060 Cedarville,U.S. House,1,,DOUG LA MALFA,191,2,115,74,0,Modoc
080 Eagleville,U.S. House,1,,DOUG LA MALFA,47,0,0,0,47,Modoc
100 Dry Creek,U.S. House,1,,DOUG LA MALFA,82,4,0,0,78,Modoc
140 Stateline-Willow Ranch,U.S. House,1,,DOUG LA MALFA,28,0,0,0,28,Modoc
160 Davis Creek,U.S. House,1,,DOUG LA MALFA,49,0,0,0,49,Modoc
180 North Fork,U.S. House,1,,DOUG LA MALFA,279,11,181,87,0,Modoc
200 Alturas B,U.S. House,1,,DOUG LA MALFA,80,2,57,21,0,Modoc
260 Alturas C,U.S. House,1,,DOUG LA MALFA,210,5,119,86,0,Modoc
280 Alturas A,U.S. House,1,,DOUG LA MALFA,129,5,75,49,0,Modoc
320 Alturas D,U.S. House,1,,DOUG LA MALFA,133,5,87,41,0,Modoc
360 Parker Creek,U.S. House,1,,DOUG LA MALFA,90,2,0,0,88,Modoc
380 South Fork,U.S. House,1,,DOUG LA MALFA,69,0,0,0,69,Modoc
400 Hot Spring,U.S. House,1,,DOUG LA MALFA,213,4,153,56,0,Modoc
410 Cal Pines,U.S. House,1,,DOUG LA MALFA,146,7,94,45,0,Modoc
420 Canby,U.S. House,1,,DOUG LA MALFA,99,1,0,0,98,Modoc
440 Adin,U.S. House,1,,DOUG LA MALFA,134,1,0,0,133,Modoc
460 Lookout,U.S. House,1,,DOUG LA MALFA,132,1,0,0,131,Modoc
480 Little Hot Spring (Day),U.S. House,1,,DOUG LA MALFA,35,0,0,0,35,Modoc
500 Newell,U.S. House,1,,DOUG LA MALFA,180,3,96,81,0,Modoc
MODOC CA,U.S. House,1,,DOUG LA MALFA,2421,53,977,540,851,Modoc
020 Fort Bidwell,State Assembly,1,,BRIAN DAHLE,44,0,0,0,44,Modoc
040 Lake City,State Assembly,1,,BRIAN DAHLE,72,0,0,0,72,Modoc
060 Cedarville,State Assembly,1,,BRIAN DAHLE,219,3,130,86,0,Modoc
080 Eagleville,State Assembly,1,,BRIAN DAHLE,48,0,0,0,48,Modoc
100 Dry Creek,State Assembly,1,,BRIAN DAHLE,93,4,0,0,89,Modoc
140 Stateline-Willow Ranch,State Assembly,1,,BRIAN DAHLE,34,0,0,0,34,Modoc
160 Davis Creek,State Assembly,1,,BRIAN DAHLE,51,0,0,0,51,Modoc
180 North Fork,State Assembly,1,,BRIAN DAHLE,305,11,197,97,0,Modoc
200 Alturas B,State Assembly,1,,BRIAN DAHLE,94,2,68,24,0,Modoc
260 Alturas C,State Assembly,1,,BRIAN DAHLE,244,5,140,99,0,Modoc
280 Alturas A,State Assembly,1,,BRIAN DAHLE,150,6,93,51,0,Modoc
320 Alturas D,State Assembly,1,,BRIAN DAHLE,158,4,99,55,0,Modoc
360 Parker Creek,State Assembly,1,,BRIAN DAHLE,104,2,0,0,102,Modoc
380 South Fork,State Assembly,1,,BRIAN DAHLE,74,0,0,0,74,Modoc
400 Hot Spring,State Assembly,1,,BRIAN DAHLE,234,5,171,58,0,Modoc
410 Cal Pines,State Assembly,1,,BRIAN DAHLE,155,8,101,46,0,Modoc
420 Canby,State Assembly,1,,BRIAN DAHLE,114,1,0,0,113,Modoc
440 Adin,State Assembly,1,,BRIAN DAHLE,148,1,0,0,147,Modoc
460 Lookout,State Assembly,1,,BRIAN DAHLE,138,1,0,0,137,Modoc
480 Little Hot Spring (Day),State Assembly,1,,BRIAN DAHLE,45,0,0,0,45,Modoc
500 Newell,State Assembly,1,,BRIAN DAHLE,204,4,109,91,0,Modoc
MODOC CA,State Assembly,1,,BRIAN DAHLE,2728,57,1108,607,956,Modoc
020 Fort Bidwell,State Assembly,1,,CALEEN SISK,25,1,0,0,24,Modoc
040 Lake City,State Assembly,1,,CALEEN SISK,22,0,0,0,22,Modoc
060 Cedarville,State Assembly,1,,CALEEN SISK,94,2,53,39,0,Modoc
080 Eagleville,State Assembly,1,,CALEEN SISK,16,1,0,0,15,Modoc
100 Dry Creek,State Assembly,1,,CALEEN SISK,22,0,0,0,22,Modoc
140 Stateline-Willow Ranch,State Assembly,1,,CALEEN SISK,12,1,0,0,11,Modoc
160 Davis Creek,State Assembly,1,,CALEEN SISK,7,0,0,0,7,Modoc
180 North Fork,State Assembly,1,,CALEEN SISK,57,2,48,7,0,Modoc
200 Alturas B,State Assembly,1,,CALEEN SISK,29,2,19,8,0,Modoc
260 Alturas C,State Assembly,1,,CALEEN SISK,79,4,51,24,0,Modoc
280 Alturas A,State Assembly,1,,CALEEN SISK,38,1,26,11,0,Modoc
320 Alturas D,State Assembly,1,,CALEEN SISK,79,6,43,30,0,Modoc
360 Parker Creek,State Assembly,1,,CALEEN SISK,12,0,0,0,12,Modoc
380 South Fork,State Assembly,1,,CALEEN SISK,11,0,0,0,11,Modoc
400 Hot Spring,State Assembly,1,,CALEEN SISK,25,1,17,7,0,Modoc
410 Cal Pines,State Assembly,1,,CALEEN SISK,58,6,34,18,0,Modoc
420 Canby,State Assembly,1,,CALEEN SISK,30,1,0,0,29,Modoc
440 Adin,State Assembly,1,,CALEEN SISK,22,0,0,0,22,Modoc
460 Lookout,State Assembly,1,,CALEEN SISK,23,0,0,0,23,Modoc
480 Little Hot Spring (Day),State Assembly,1,,CALEEN SISK,11,0,0,0,11,Modoc
500 Newell,State Assembly,1,,CALEEN SISK,35,0,21,14,0,Modoc
MODOC CA,State Assembly,1,,CALEEN SISK,707,28,312,158,209,Modoc
020 Fort Bidwell,Superintendent of Public Instruction,,,MARSHALL TUCK,39,0,0,0,39,Modoc
040 Lake City,Superintendent of Public Instruction,,,MARSHALL TUCK,58,0,0,0,58,Modoc
060 Cedarville,Superintendent of Public Instruction,,,MARSHALL TUCK,172,4,98,70,0,Modoc
080 Eagleville,Superintendent of Public Instruction,,,MARSHALL TUCK,32,0,0,0,32,Modoc
100 Dry Creek,Superintendent of Public Instruction,,,MARSHALL TUCK,75,2,0,0,73,Modoc
140 Stateline-Willow Ranch,Superintendent of Public Instruction,,,MARSHALL TUCK,26,0,0,0,26,Modoc
160 Davis Creek,Superintendent of Public Instruction,,,MARSHALL TUCK,40,0,0,0,40,Modoc
180 North Fork,Superintendent of Public Instruction,,,MARSHALL TUCK,221,6,143,72,0,Modoc
200 Alturas B,Superintendent of Public Instruction,,,MARSHALL TUCK,78,1,55,22,0,Modoc
260 Alturas C,Superintendent of Public Instruction,,,MARSHALL TUCK,202,8,116,78,0,Modoc
280 Alturas A,Superintendent of Public Instruction,,,MARSHALL TUCK,109,4,67,38,0,Modoc
320 Alturas D,Superintendent of Public Instruction,,,MARSHALL TUCK,153,7,88,58,0,Modoc
360 Parker Creek,Superintendent of Public Instruction,,,MARSHALL TUCK,68,1,0,0,67,Modoc
380 South Fork,Superintendent of Public Instruction,,,MARSHALL TUCK,42,0,0,0,42,Modoc
400 Hot Spring,Superintendent of Public Instruction,,,MARSHALL TUCK,164,4,119,41,0,Modoc
410 Cal Pines,Superintendent of Public Instruction,,,MARSHALL TUCK,135,9,84,42,0,Modoc
420 Canby,Superintendent of Public Instruction,,,MARSHALL TUCK,76,1,0,0,75,Modoc
440 Adin,Superintendent of Public Instruction,,,MARSHALL TUCK,96,1,0,0,95,Modoc
460 Lookout,Superintendent of Public Instruction,,,MARSHALL TUCK,128,1,0,0,127,Modoc
480 Little Hot Spring (Day),Superintendent of Public Instruction,,,MARSHALL TUCK,40,0,0,0,40,Modoc
500 Newell,Superintendent of Public Instruction,,,MARSHALL TUCK,145,2,80,63,0,Modoc
MODOC CA,Superintendent of Public Instruction,,,MARSHALL TUCK,2099,51,850,484,714,Modoc
020 Fort Bidwell,Superintendent of Public Instruction,,,TONY KTHURMOND,23,0,0,0,23,Modoc
040 Lake City,Superintendent of Public Instruction,,,TONY KTHURMOND,25,0,0,0,25,Modoc
060 Cedarville,Superintendent of Public Instruction,,,TONY KTHURMOND,90,1,51,38,0,Modoc
080 Eagleville,Superintendent of Public Instruction,,,TONY KTHURMOND,17,1,0,0,16,Modoc
100 Dry Creek,Superintendent of Public Instruction,,,TONY KTHURMOND,26,0,0,0,26,Modoc
140 Stateline-Willow Ranch,Superintendent of Public Instruction,,,TONY KTHURMOND,14,0,0,0,14,Modoc
160 Davis Creek,Superintendent of Public Instruction,,,TONY KTHURMOND,11,0,0,0,11,Modoc
180 North Fork,Superintendent of Public Instruction,,,TONY KTHURMOND,90,1,67,22,0,Modoc
200 Alturas B,Superintendent of Public Instruction,,,TONY KTHURMOND,29,3,21,5,0,Modoc
260 Alturas C,Superintendent of Public Instruction,,,TONY KTHURMOND,86,1,57,28,0,Modoc
280 Alturas A,Superintendent of Public Instruction,,,TONY KTHURMOND,55,2,34,19,0,Modoc
320 Alturas D,Superintendent of Public Instruction,,,TONY KTHURMOND,61,3,39,19,0,Modoc
360 Parker Creek,Superintendent of Public Instruction,,,TONY KTHURMOND,16,0,0,0,16,Modoc
380 South Fork,Superintendent of Public Instruction,,,TONY KTHURMOND,25,0,0,0,25,Modoc
400 Hot Spring,Superintendent of Public Instruction,,,TONY KTHURMOND,60,1,43,16,0,Modoc
410 Cal Pines,Superintendent of Public Instruction,,,TONY KTHURMOND,50,4,30,16,0,Modoc
420 Canby,Superintendent of Public Instruction,,,TONY KTHURMOND,42,1,0,0,41,Modoc
440 Adin,Superintendent of Public Instruction,,,TONY KTHURMOND,47,0,0,0,47,Modoc
460 Lookout,Superintendent of Public Instruction,,,TONY KTHURMOND,18,0,0,0,18,Modoc
480 Little Hot Spring (Day),Superintendent of Public Instruction,,,TONY KTHURMOND,7,0,0,0,7,Modoc
500 Newell,Superintendent of Public Instruction,,,TONY KTHURMOND,61,2,33,26,0,Modoc
MODOC CA,Superintendent of Public Instruction,,,TONY KTHURMOND,853,20,375,189,269,Modoc
